id,Distance,Charge,SD,PPV,V,L,T,logD,logW,logSD,W2_D,sqrtW,ratio_VL,ratio_VT,ratio_LT,dominant,anomalous,sd_quartile,AF_V,AF_L,AF_T,hp_pred_resultant
19,1200,2150.0,25.88,23.42,13.55,13.05,13.95,3.0791812460476247,3.3324384599156054,1.4129642719966629,3852.0833333333335,46.36809247747852,1.0383141762452108,0.971326164874552,0.935483870967742,T,1,2,0.3942434327676923,0.37969570462128305,0.40588161528481975,34.36962768124112
20,1250,2050.0,27.61,21.08,12.2,11.75,12.55,3.096910013008056,3.311753861055754,1.441066406639263,3362.0,45.27692569068709,1.0382978723404257,0.9721115537848604,0.9362549800796812,T,1,3,0.3878337367096328,0.3735283939621463,0.39896011440212226,31.456778627626242
21,300,1450.0,7.88,156.95,90.85,90.75,90.25,2.4771212547196626,3.161368002234975,0.8965262174895553,7008.333333333333,38.07886552931954,1.0011019283746556,1.0066481994459833,1.005540166204986,V,1,0,0.5192218768464878,0.5186503612968494,0.5157927835486574,174.97336697710168
22,350,1450.0,9.19,100.94,71.05,71.3,70.95,2.544068044350276,3.161368002234975,0.9633155113861112,6007.142857142857,38.07886552931954,0.9964936886395512,1.0014094432699083,1.0049330514446793,L,1,0,0.501187188559747,0.5029506902788171,0.5004817878721189,141.76340022612143
23,400,1400.0,10.69,96.18,55.75,55.75,55.08,2.6020599913279625,3.146128035678238,1.028977705208778,4900.0,37.416573867739416,1.0,1.012164124909223,1.012164124909223,V,1,0,0.48366652317067577,0.48366652317067577,0.477853849259925,115.26536844958979
24,450,1450.0,11.82,82.13,47.5,47.4,47.35,2.6532125137753435,3.161368002234975,1.0726174765452363,4672.222222222223,38.07886552931954,1.0021097046413503,1.003167898627244,1.0010559662090812,V,1,0,0.4728464772232579,0.4718510109554194,0.47135327782150027,100.45543805029244
25,500,1400.0,13.36,67.64,39.05,39.15,38.95,2.6989700043360187,3.146128035678238,1.1258064581395268,3920.0,37.416573867739416,0.9974457215836526,1.0025673940949935,1.005134788189987,L,1,0,0.4596656243003094,0.46084274497713473,0.45848850362348403,84.95305703888747
26,550,1500.0,14.2,60.63,35.45,35.55,35.75,2.740362689494244,3.1760912590556813,1.1522883443830565,4090.909090909091,38.72983346207417,0.9971870604781998,0.9916083916083916,0.9944055944055944,T,1,1,0.4536076157505648,0.45488718589372573,0.4574463261800477,78.15124519314436
27,600,1200.0,17.32,45.63,25.7,25.85,27.45,2.7781512503836434,3.0791812460476247,1.2385478876813278,2400.0,34.64101615137755,0.9941972920696324,0.936247723132969,0.941712204007286,T,1,1,0.43157077962054313,0.4340896752214413,0.46095789496435446,59.54990748585115
28,650,1850.0,15.11,55.48,32.05,32.0,32.05,2.812913356642856,3.2671717284030137,1.179264464339025,5265.384615384615,43.01162633521314,1.0015625,1.0,0.998439937597504,V,1,1,0.4464899106338099,0.4457933585111363,0.4464899106338099,71.78213714729583
29,700,1850.0,16.27,49.19,28.4,28.45,28.35,2.845098040014257,3.2671717284030137,1.2113875529368587,4889.285714285715,43.01162633521314,0.9982425307557118,1.001763668430335,1.00352733686067,L,1,1,0.43778977581771567,0.43856053246528204,0.4370190191701493,64.87131853856958
30,750,950.0,24.33,25.81,14.95,14.9,14.85,2.8750612633917,2.977723605288848,1.3861421089308184,1203.3333333333333,30.822070014844883,1.0033557046979864,1.0067340067340067,1.0033670033670037,V,1,2,0.39972154073966515,0.39838467939939876,0.39704781805913225,37.401036662512
31,800,1350.0,21.77,30.8,17.8,17.7,17.85,2.903089986991944,3.130333768495006,1.3378584290410944,2278.125,36.74234614174768,1.0056497175141244,0.9971988795518208,0.991596638655462,T,1,2,0.4087476963959103,0.4064513610228996,0.4098958640824157,43.54764603433762
32,850,1250.0,24.04,26.33,15.25,15.2,15.15,2.929418925714293,3.096910013008056,1.380934463330702,1838.235294117647,35.35533905932738,1.0032894736842106,1.006600660066007,1.0033003300330032,V,1,2,0.4011058720965499,0.3997907708765612,0.39847566965657255,38.019887169164114
33,900,1250.0,25.46,23.51,13.95,13.8,12.95,2.9542425094393248,3.096910013008056,1.4058583993176366,1736.111111111111,35.35533905932738,1.0108695652173911,1.0772200772200773,1.0656370656370655,V,1,2,0.39689377075960225,0.3926260958051979,0.36844260439690674,35.14794392792193
34,950,1500.0,24.53,25.32,14.75,14.85,14.25,2.977723605288848,3.1760912590556813,1.3896975482063858,2368.4210526315787,38.72983346207417,0.9932659932659932,1.0350877192982455,1.0421052631578946,L,1,2,0.39881763573813034,0.40152148411601596,0.38529839384870224,36.98432235249765
35,1000,1500.0,25.82,23.3,13.5,13.25,13.35,3.0,3.1760912590556813,1.4119562379304016,2250.0,38.72983346207417,1.018867924528302,1.0112359550561798,0.99250936329588,V,1,2,0.3915428931335484,0.3842920988162604,0.3871924165431756,34.47898106886437
36,1050,1750.0,25.1,24.39,14.25,13.95,14.05,3.0211892990699383,3.2430380486862944,1.3996737214810382,2916.6666666666665,41.83300132670378,1.021505376344086,1.0142348754448398,0.99288256227758,V,1,2,0.3976038576384559,0.3892332501092252,0.3920234526189688,35.83969251364163
37,1100,2350.0,22.69,28.32,16.75,16.05,16.25,3.041392685158225,3.3710678622717363,1.355834495884936,5020.454545454545,48.47679857416329,1.043613707165109,1.0307692307692309,0.9876923076923078,V,1,2,0.4070541363345134,0.39004291869665314,0.3949032665931846,41.14931775618908
38,1150,1350.0,31.3,17.26,10.0,9.85,10.05,3.060697840353612,3.130333768495006,1.4955443375464486,1584.7826086956522,36.74234614174768,1.015228426395939,0.9950248756218903,0.980099502487562,T,1,3,0.37743680752892916,0.3717752554159952,0.3793239915665738,26.494501332474144
39,1200,1450.0,31.51,16.75,9.9,9.85,9.25,3.0791812460476247,3.161368002234975,1.4984484031739995,1752.0833333333333,38.07886552931954,1.0050761421319798,1.0702702702702702,1.0648648648648649,V,1,3,0.377097756807909,0.3751932226826165,0.3523388131791069,26.25313946124318
40,1250,2755.0,23.81,26.36,15.5,15.2,14.95,3.096910013008056,3.440121603187804,1.3767593954048798,6072.02,52.48809388804284,1.0197368421052633,1.0367892976588629,1.0167224080267558,V,1,2,0.40235265970253115,0.3945651888695789,0.38807562984211874,38.52341876268326
41,300,1650.0,7.39,174.16,100.75,101.05,99.85,2.4771212547196626,3.2174839442139063,0.8686444383948257,9075.0,40.62019202317981,0.9970311726867888,1.009013520280421,1.0120180270405608,L,1,0,0.5273683997086437,0.5289387274497116,0.5226574164854398,191.04292190366652
42,350,1550.0,8.89,128.35,74.9,73.45,73.95,2.544068044350276,3.1903316981702914,0.9489017609702136,6864.285714285715,39.370039370059054,1.0197413206262764,1.012846517917512,0.993238674780257,V,1,0,0.504883336931982,0.49510922693797155,0.4984796096945268,148.35110315809564
43,400,1355.0,10.89,94.17,54.3,54.95,53.85,2.6020599913279625,3.1319392952104246,1.037027879755775,4590.0625,36.81032463861192,0.9881710646041856,1.0083565459610029,1.020427112349118,L,1,0,0.4831905763044421,0.4889746255603885,0.4791862345118639,112.37801948725796
44,450,1555.0,11.22,86.63,50.25,49.75,50.05,2.6532125137753435,3.191730393362856,1.0499928569201429,5373.388888888889,39.43348830626071,1.0100502512562817,1.003996003996004,0.994005994005994,V,1,0,0.4657990086225791,0.4611641926163843,0.46394508222010117,107.87914759328275
45,500,1850.0,11.62,83.8,48.75,48.35,48.05,2.6989700043360187,3.2671717284030137,1.065206128054312,6845.0,43.01162633521314,1.0082730093071357,1.0145681581685744,1.0062434963579605,V,1,0,0.4740869454763597,0.47019700130834857,0.46727954318234016,102.82923937299368
46,550,1900.0,12.62,62.24,35.95,36.15,36.95,2.740362689494244,3.278753600952829,1.1010593549081156,6563.636363636364,43.58898943540674,0.9944674965421856,0.972936400541272,0.9783491204330176,T,1,0,0.3914271968089105,0.3936048168189739,0.4023152968592279,91.84338822923004
47,600,1400.0,16.03,50.67,29.15,29.75,28.85,2.7781512503836434,3.146128035678238,1.2049335223541449,3266.6666666666665,37.416573867739416,0.9798319327731092,1.0103986135181977,1.031195840554593,L,1,1,0.4403042197055019,0.4493670852912069,0.43577278691264937,66.20422584070855
48,650,1100.0,19.6,36.17,21.15,20.55,20.95,2.812913356642856,3.041392685158225,1.292256071356476,1861.5384615384612,33.166247903554,1.0291970802919708,1.009546539379475,0.9809069212410502,V,1,1,0.4206629864876065,0.4087292847432773,0.41668508590616343,50.27777741178357
49,700,1250.0,19.8,34.77,20.8,21.05,20.1,2.845098040014257,3.096910013008056,1.2966651902615312,2232.1428571428573,35.35533905932738,0.98812351543943,1.034825870646766,1.0472636815920398,L,1,2,0.41948997274568395,0.4245319195334926,0.4053725217398196,49.5840219108408
50,750,1500.0,19.3,36.41,21.55,20.45,21.05,2.8750612633917,3.1760912590556813,1.285557309007774,3000.0,38.72983346207417,1.0537897310513449,1.0237529691211402,0.9714964370546316,V,1,1,0.4196655090360936,0.39824406773958765,0.40992849026495454,51.35041964610577
51,800,1800.0,18.86,38.42,22.45,22.1,21.95,2.903089986991944,3.255272505103306,1.2755416884013095,4050.0,42.42640687119285,1.015837104072398,1.0227790432801822,1.0068337129840548,V,1,1,0.4236087964633645,0.41700465041605156,0.41417430211006023,52.9970108917263
52,850,1950.0,19.25,36.85,21.75,20.65,20.05,2.929418925714293,3.290034611362518,1.2844307338445196,4473.529411764706,44.15880433163923,1.053268765133172,1.084788029925187,1.0299251870324189,V,1,1,0.42205926027186247,0.40071373446500963,0.3890707203885445,51.53304771938921
53,900,1250.0,25.46,23.42,13.9,13.1,13.55,2.9542425094393248,3.096910013008056,1.4058583993176366,1736.111111111111,35.35533905932738,1.0610687022900764,1.025830258302583,0.9667896678966788,V,1,2,0.3954712124414675,0.37271027935131107,0.38551330421452407,35.14794392792193
54,950,1250.0,26.87,21.25,12.75,11.95,12.1,2.977723605288848,3.096910013008056,1.4292676664331685,1644.7368421052631,35.35533905932738,1.0669456066945606,1.0537190082644627,0.987603305785124,V,1,3,0.3905244081214637,0.3660209158471758,0.37061532064860475,32.64840746147269
55,1000,1200.0,28.88,18.62,10.75,11.05,10.45,3.0,3.0791812460476247,1.4605971888976017,1440.0,34.64101615137755,0.9728506787330315,1.028708133971292,1.0574162679425838,L,1,3,0.36343273868788184,0.37357504767452043,0.35329042970124325,29.57906334693794
56,1050,1950.0,23.78,26.58,15.5,14.55,15.95,3.0211892990699383,3.290034611362518,1.3762118502826728,3621.428571428572,44.15880433163923,1.0652920962199313,0.9717868338557994,0.9122257053291536,T,1,2,0.4016590033242396,0.37704119344307657,0.41332007116268527,38.58994787050151
57,1100,1800.0,25.93,22.73,13.05,13.55,12.75,3.041392685158225,3.255272505103306,1.4138025167693515,2945.454545454545,42.42640687119285,0.96309963099631,1.023529411764706,1.0627450980392157,L,1,2,0.38070002551898746,0.3952862333932782,0.37194830079441304,34.278957513096174
58,1150,1800.0,27.11,21.17,12.55,11.85,12.25,3.060697840353612,3.255272505103306,1.4331295175804857,2817.391304347826,42.42640687119285,1.059071729957806,1.0244897959183674,0.96734693877551,V,1,3,0.38910521668872466,0.3674021368734173,0.3798038967678786,32.253486876378005
59,1200,1800.0,28.28,19.44,11.75,10.65,11.25,3.0791812460476247,3.255272505103306,1.4514794051248618,2700.0,42.42640687119285,1.1032863849765258,1.0444444444444445,0.9466666666666668,V,1,3,0.385988930706773,0.34985379676826656,0.3695638698256337,30.44128747030367
60,1250,1950.0,28.31,18.83,10.25,11.75,10.55,3.096910013008056,3.290034611362518,1.4519398693651029,3042.0,44.15880433163923,0.8723404255319149,0.971563981042654,1.1137440758293835,L,1,3,0.33720269768637245,0.38654943393315866,0.3470720449357297,30.397147087872302
61,300,1600.0,7.5,191.01,110.44,110.42,109.98,2.4771212547196626,3.204119982655925,0.8750612633917001,8533.333333333334,40.0,1.0001811266074987,1.0041825786506635,1.0040007274049827,V,1,0,0.5898988001880668,0.5897919731688369,0.5874417787457769,187.21855335998376
62,350,1450.0,9.19,142.44,82.24,82.26,82.22,2.544068044350276,3.161368002234975,0.9633155113861112,6007.142857142857,38.07886552931954,0.99975686846584,1.0002432498175626,1.0004864996351253,L,1,0,0.5801215255053285,0.5802626056428541,0.5799804453678029,141.76340022612143
63,400,1850.0,9.3,140.0,80.85,80.81,80.83,2.6020599913279625,3.2671717284030137,0.9684829485539352,8556.25,43.01162633521314,1.000494988244029,1.0002474328838302,0.9997525671161698,V,1,0,0.5796796539548101,0.5793928612997924,0.5795362576273012,139.47358588214792
64,450,1700.0,10.91,111.06,64.1,64.15,64.12,2.6532125137753435,3.230448921378274,1.0378247505883418,6422.222222222223,41.23105625617661,0.9992205767731877,0.9996880848409232,1.0004678727386151,L,1,0,0.5718304172599031,0.5722764628271886,0.5720088354868174,112.09617058699739
